page,country,rev_id
Template:BurkinaFaso-mayor-stub,Burkina Faso,444759010
Template:Gabon-mayor-stub,Gabon,444762949
Template:Kenya-mayor-stub,Kenya,444766243
Template:Liberia-mayor-stub,Liberia,444766443
Template:Somalia-mayor-stub,Somalia,444767261
Template:Tunisia-mayor-stub,Tunisia,444767517
Template:Uganda-mayor-stub,Uganda,444767727
Template:Zimbabwe-mayor-stub,Zimbabwe,444767985
Template:Ecuador-mayor-stub,Ecuador,445199467
Template:Ecuador-politician-stub,Ecuador,445225417
Template:Cambodia-politician-stub,Cambodia,445365862
Template:ElSalvador-politician-stub,Salvadoran,445403015
Template:Finland-mayor-stub,Finland,445676138
Template:Portugal-mayor-stub,Portugal,446008048
Template:Switzerland-mayor-stub,Switzerland,446011535
Template:Sweden-mayor-stub,Sweden,446019004
Template:Belgium-mayor-stub,Belgium,446192353
Template:Spain-mayor-stub,Spain,446194245
Template:Italy-mayor-stub,Italy,446196171
Template:Mexico-mayor-stub,Mexico,446200358
Template:Chile-mayor-stub,Chile,446202781
Template:Peru-mayor-stub,Peru,446205420
Template:Bolivia-mayor-stub,Bolivia,446207794
Template:Colombia-mayor-stub,Colombia,446214240
Template:Bulgaria-mayor-stub,Bulgaria,446219671
Template:Serbia-mayor-stub,Serbia,446221243
Template:Russia-mayor-stub,Russia,446222994
Template:Tanzania-mayor-stub,Tanzania,446465586
Template:Tanzania-politician-stub,Tanzania,446468308
Template:SierraLeone-politician-stub,Sierra Leone,447694868
Template:SierraLeone-mayor-stub,Sierra Leone,447696094
Sehba Musharraf,Pakistan,448555418
Template:Nunavut-politician-stub,Canada,450168181
Template:Croatia-mayor-stub,Croatia,455747046
Template:Madagascar-mayor-stub,Madagascar,455961992
Template:Ukraine-mayor-stub,Ukraine,456370038
Template:SouthSudan-politician-stub,South Sudan,468942507
Butler-Belmont family,United States,470173494
Template:Yemen-politician-stub,Yemen,470905661
Template:PRChina-mayor-stub,China,471851224
List of Canadian incumbents by year,Canada,477962574
Template:Bolivia-politician-stub,Bolivia,481837976
Template:NewZealand-politician-stub,New Zealand,488705675
Sheikh Sadiq Ali Ansari,India,492060822
Cayetano Pacana,Philippines,492964343
Template:Germany-BVP-politician-stub,Germany,495124898
Template:Venezuela-politician-stub,Venezuela,496528097
Template:Venezuela-mayor-stub,Venezuela,496900283
Abdullah II of Kanem,Chad,498683267
Heard-Hawes family,United States,502721672
Template:TranscaucasiaPMs,Russia,503442332
Template:Australia-politician-stub,Australia,508253799
List of politicians in Poland,Poland,516633096
Template:Philippines-congressman-stub,Philippines,519257222
List of German politicians,Germany,521986779
Template:China-politician-stub,China,527463943
Template:Switzerland-diplomat-stub,Switzerland,529588432
Template:Estonia-diplomat-stub,Estonia,530047771
Template:Palestine-diplomat-stub,Palestinian Territory,530242215
Template:Lebanon-politician-stub,Lebanon,530284522
Template:Armenia-mayor-stub,Armenia,530322698
Template:Armenia-politician-stub,Armenia,530323140
Template:Armenia-diplomat-stub,Armenia,530323678
Template:Taiwan-mayor-stub,Taiwan,530544520
"Template:Heads of Government, Sierra Leone",Sierra Leone,530554988
Template:Cuba-politician-stub,Cuba,530739845
Template:Cuba-mayor-stub,Cuba,530740001
Template:Cuba-activist-stub,Cuba,530742252
Template:Cuba-diplomat-stub,Cuba,530744043
Template:Lithuania-politician-stub,Lithuania,531458172
Template:Lithuania-mayor-stub,Lithuania,531459628
Raspicious Dzanjalimodzi,Malawi,532253442
Template:NevisPremiers,Saint Kitts and Nevis,535173663
Template:Vietnam-mayor-stub,Vietnam,535403481
Template:Vietnam-diplomat-stub,Vietnam,535403528
Template:France-activist-stub,France,535414539
Template:Norway-activist-stub,Norway,535414570
Template:Poland-activist-stub,Poland,535414592
Template:Sweden-activist-stub,Sweden,535414613
Template:Ireland-activist-stub,Ireland,535414628
Template:Iceland-activist-stub,Iceland,535414676
Template:Australia-activist-stub,Australia,535415787
Template:Spain-activist-stub,Spain,535444722
Template:Israel-activist-stub,Israel,535446024
Template:Yemen-activist-stub,Yemen,535446071
Template:SriLanka-activist-stub,Sri Lanka,535446127
Template:Japan-activist-stub,Japan,535446167
Template:Iraq-activist-stub,Iraq,535446194
Template:Iran-activist-stub,Iran,535446209
Template:Bangladesh-activist-stub,Bangladesh,535446218
Template:China-activist-stub,China,535446243
Template:NewZealand-activist-stub,New Zealand,535498320
Template:PalauVPs,Palauan,536462949
Template:Nepal-diplomat-stub,Nepal,539244575
Template:India-diplomat-stub,India,539244631
Template:Jamaica-diplomat-stub,Jamaica,539551401
Template:Jamaica-mayor-stub,Jamaica,539551660
Template:Jamaica-politician-stub,Jamaica,539551701
Template:Portugal-diplomat-stub,Portugal,540004474
Template:Turkey-diplomat-stub,Turkey,540004518
Template:Turkey-activist-stub,Turkey,540100985
"Template:1992 candidates, Angola",Angola,540117421
Template:Philippines-activist-stub,Philippines,540379020
Template:Afghanistan-diplomat-stub,Afghanistan,540459929
Template:Pakistan-activist-stub,Pakistan,540465312
Template:Pakistan-diplomat-stub,Pakistan,540468218
"Template:2005 presidential election candidates, Kyrgyzstan",Kyrgyzstan,540963885
Template:SanMarino-politician-stub,San Marino,540974764
Template:BosniaHerzegovina-mayor-stub,Bosnia-Herzegovina,540988222
Template:Serbia-diplomat-stub,Serbia,540992721
Template:Slovenia-diplomat-stub,Slovenia,540993236
Template:CzechRepublic-diplomat-stub,Czech Republic,540993708
Template:Slovakia-diplomat-stub,Slovakia,540993715
Template:BosniaHerzegovina-diplomat-stub,Bosnia-Herzegovina,540993917
Template:Bulgaria-diplomat-stub,Bulgaria,540994040
Template:Denmark-diplomat-stub,Denmark,540994071
Template:Romania-diplomat-stub,Romania,540994162
Template:Italy-diplomat-stub,Italy,540996332
Template:Iceland-diplomat-stub,Iceland,540996389
Template:Belgium-diplomat-stub,Belgium,540996510
Template:Poland-diplomat-stub,Poland,540996703
Template:Sweden-diplomat-stub,Sweden,540996796
Template:Hungary-diplomat-stub,Hungary,540997088
Template:Albania-diplomat-stub,Albania,540997313
Template:Austria-diplomat-stub,Austria,540997908
Template:Lithuania-diplomat-stub,Lithuania,541003996
Template:Greece-diplomat-stub,Greece,541004175
Template:Bangladesh-diplomat-stub,Bangladesh,541009166
Template:Australia-diplomat-stub,Australia,541017284
Template:Philippines-diplomat-stub,Philippines,541019756
Template:Heads of government of Turkmenistan,Turkmenistan,541142538
Manuel Antonio Blas Sáenz,Nicaragua,543225630
Template:Austria-politician-stub,Austria,544279941
Template:Algeria-politician-stub,Algeria,544347736
Template:Pakistan-mayor-stub,Pakistan,544666451
Template:Mexico-diplomat-stub,Mexico,545449302
Béla Vörösmarty,Hungary,545936100
Presidents of the General Council of French Guiana,French Guiana,546364151
Template:Japan-politician-stub,Japan,546498071
Template:Malaysia-activist-stub,Malaysia,546935871
Template:SouthAfrica-diplomat-stub,South Africa,547269505
Template:DjiboutiPMs,Djibouti,548181438
Template:Nigeria-diplomat-stub,Nigeria,548342756
Template:Haiti-diplomat-stub,Haiti,548684337
Template:Venezuela-diplomat-stub,Venezuela,548766254
Finn Sjue,Norway,549300521
Template:Tanzania-diplomat-stub,Tanzania,549366748
Template:Vietnam-politician-stub,Vietnam,550432744
Tingtingru,Vanuatu,550682925
Russell family (American political family),United States,550953646
Template:IvoryCoast-mayor-stub,Ivorian,551712542
Template:Bolivia-activist-stub,Bolivia,551889841
Template:Colombia-diplomat-stub,Colombia,552027405
Template:Ukraine-politician-stub,Ukraine,556222971
Template:Italy-activist-stub,Italy,559149314
Maximo Suniel,Philippines,559553872
Mihály Mikes (soldier),Hungary,559788982
Template:Romania-politician-stub,Romania,560171855
Template:Italy-politician-stub,Italy,560300020
Template:India-politician-stub,India,560300100
Template:Presidents of Ivory Coast,Ivorian,560326236
Template:Mexico-politician-stub,Mexico,560421629
Template:Netherlands-politician-stub,Netherlands,560422911
Template:Poland-politician-stub,Poland,560564875
The Man with the Chocolate Robe,Iran,560758943
Template:Russia-politician-stub,Russia,560768421
Template:Egypt-politician-stub,Egypt,561071682
Template:Portugal-politician-stub,Portugal,561074684
Template:Libya-politician-stub,Libya,561074815
Template:Canada-politician-stub,Canada,561075472
Template:Hungary-politician-stub,Hungary,561076576
List of Malta Labour Party leaders,Malta,561744402
Template:Mexico-activist-stub,Mexico,563278006
Template:Nigeria-activist-stub,Nigeria,563278068
Template:Paraguay-politician-stub,Paraguay,563745261
Template:Paraguay-diplomat-stub,Paraguay,563745346
Template:Paraguay-activist-stub,Paraguay,563745360
Template:Denmark-activist-stub,Denmark,564225242
Template:Netherlands-activist-stub,Netherlands,564225270
Template:Bolivia-diplomat-stub,Bolivia,564315998
Template:Peru-diplomat-stub,Peru,564317418
Template:Ecuador-diplomat-stub,Ecuador,564317537
Template:Argentina-diplomat-stub,Argentina,564317569
Template:Chile-diplomat-stub,Chile,564317591
Template:Argentina-activist-stub,Argentina,564438801
Marquis of Amboage,Spain,564873005
Salmama II of Kanem,Chad,565745353
Kuri I of Kanem,Chad,565745365
Mohammed I of Kanem,Chad,565745375
Template:DjiboutiPresidents,Djibouti,566428829
Template:StVGPMs,Saint Vincent and the Grenadines,566478181
Timoteo Menéndez,Salvadoran,566504165
Template:Taiwan-politician-stub,Taiwan,567181489
Template:Philippines-politician-stub,Philippines,567204972
Template:Nicaragua-politician-stub,Nicaragua,567212908
Template:Ireland-diplomat-stub,Ireland,567620803
Template:Algeria-diplomat-stub,Algeria,567620838
"List of members of the parliament of Malta, 2008–13",Malta,573710096
Gervas Clay,Rhodesian,574571582
Samuel Nii Ayi Mankattah,Ghana,576988466
Template:Ukraine-activist-stub,Ukraine,577828365
Template:Germany-DKP-politician-stub,Germany,581109695
Template:Germany-USPD-politician-stub,Germany,581109760
Template:Germany-LDPD-politician-stub,Germany,581109965
Template:Germany-DNVP-politician-stub,Germany,581110015
Template:Germany-politician-stub,Germany,581110109
Template:Germany-activist-stub,Germany,581110137
Template:Sultans of Oman,Omani,582616049
Template:Ecuador-activist-stub,Ecuador,583459402
Template:PNGPMs,Papua New Guinea,585140171
Template:Germany-NPD-politician-stub,Germany,585354886
Template:CostaRica-diplomat-stub,Costa Rica,585817999
Hemed Khamis,Tanzania,585894477
Template:Presidents of the Regional Council of French Guiana,French Guiana,590905939
Template:Switzerland-activist-stub,Switzerland,591438058
Template:Venezuela-activist-stub,Venezuela,592089814
Mavua Mudima,"Congo, Dem. Rep. of",592289232
Template:Laos-diplomat-stub,Laos,594545324
Template:Indonesia-diplomat-stub,Indonesia,594545381
Template:Japan-diplomat-stub,Japan,594545594
Council of Ministers of Togo,Togo,595693452
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202
Abdullah Al Nuaimi (politician),United Arab Emirates,598819900
Zhang Zhenzhou,China,601122766
Feng Liao,China,601127343
Template:Peru-activist-stub,Peru,601137346
Template:President of Ethiopia,Ethiopia,602470386
Template:Ukraine-MP-stub,Ukraine,603583697
Template:Croatia-diplomat-stub,Croatia,605879488
Template:Prime Minister of Tuvalu,Tuvalu,607934598
Template:Pakistan-politician-stub,Pakistan,610315750
Template:Presidents of Somaliland,Somalia,612095066
Template:NiuePMs,Niuean,612095385
Template:Prime Minister of Antigua and Barbuda,Antigua and Barbuda,612801561
Wu Shihuo,China,614786300
Template:Uruguay-mayor-stub,Uruguay,615286075
Template:Uruguay-activist-stub,Uruguay,615286422
Template:Galicia-politician-stub,Spain,615616012
Template:Taiwan-diplomat-stub,Taiwan,615935504
Template:SenegalPMs,Senegal,616604396
Template:Iran-diplomat-stub,Iran,617753792
Template:Iraq-diplomat-stub,Iraq,617753923
Template:Presidents of Puntland,Somalia,618829831
Template:Estonia-mayor-stub,Estonia,619542964
Template:Presidents of the National Assembly of Cambodia,Cambodia,620367767
Template:Brazil-activist-stub,Brazil,621495219
Template:Chile-activist-stub,Chile,621495266
Kennedy Kiliku,Kenya,623004627
Kamu de Almeida,Angola,623334577
Template:ElSalvador-mayor-stub,Salvadoran,623594207
Hiša Marije Pomočnice,Slovenia,624468970
Đuro Šurmin,Croatia,625509885
Suishō,Japan,626606789
Nikolai Sulima,Russia,627001041
Khayelihle Mathaba,South Africa,627051151
Vilho Turunen,Finland,627432937
Daud Arsala,Afghanistan,627547024
Vihtori Aromaa,Finland,628261896
Jonathan Wartiovaara,Finland,628268705
Arvi Turkka,Finland,628270736
Juho Heikkinen,Finland,628312759
Emanuel Aromaa,Finland,628379479
Jukka Lankila,Finland,628563978
Jalmari Malmi,Finland,628619000
Viljo Pousi,Finland,628766656
Jooseppi Kauranen,Finland,628988952
Sardar Aurang Zeb Khan,Pakistan,629562076
Jeremiah Kasambala,Tanzania,629818376
Sofia Hjulgrén,Finland,630396351
Vihtori Viitanen,Finland,630396786
Tirso Neri,Philippines,630704768
Template:WPKHeads,"Korea, North",631002637
Cleisthenes (son of Sibyrtius),Greece,631437331
Demonax (lawmaker),Greece,631581752
List of 2009 Canadian incumbents,Canada,632008524
"Zero, None Of The Above",United Kingdom,632261377
Johan Franzén (politician),Finland,632447328
Template:AddisAbabaMayors,Ethiopia,632582059
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729
Template:Foreign Ministers of Botswana,Botswana,633883875
Liu Hongchang,China,634032715
Template:QatarEmirs,Qatar,635021360
Template:Rwandan presidents,Rwanda,635175072
Custos Rotulorum of County Wicklow,Ireland,635240253
Custos Rotulorum of County Cork,Ireland,635814126
Book:Two Political Biographies,India,636911471
Template:NauruPres,Nauru,637674341
Hegesippus (orator),Greece,637801253
Template:SudanPresidents,Sudan,638039494
Pheroze Sethna,India,638214719
Ibrahim Kassas,Tunisia,638362866
Dilip Sarkar,India,638377138
"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016
Gatluak Deng Garang,South Sudan,638571205
List of members of the National Assembly of Botswana 2009–14,Botswana,638599355
Aliyu Ibrahim Gebi,Nigeria,639021339
Wang Jichang,China,639061161
Waldemir Moka,Brazil,639471171
Custos Rotulorum of County Waterford,Ireland,640014648
Lee Ja-kyum,"Korea, South",640214913
Wei Huan-zi,China,640826254
O'Higgins Pioche,Chile,641422326
Template:Serbia-politician-stub,Serbia,641619789
Template:Austria-activist-stub,Austria,642383400
Template:MozambiquePresidents,Mozambique,642597959
Template:Palestine-politician-stub,Palestinian Territory,642657096
Template:Palestine-mayor-stub,Palestinian Territory,642657247
"List of Captains Regent of San Marino, 1500–1700",San Marino,643410335
Template:Saudi Kings,Saudi Arabia,643741011
Eiler Grubbe,Denmark,643746000
"List of members of the Løgting, 1974–78",Faroese,643932216
"List of members of the Løgting, 1978–80",Faroese,643932220
"List of members of the Løgting, 1980–84",Faroese,643932225
"List of members of the Løgting, 1984–88",Faroese,643932226
"List of members of the Løgting, 1990–94",Faroese,643932239
"List of members of the Løgting, 1994–98",Faroese,643932242
Olli Zitting,Finland,644024203
Pierre Philibert de Blancheton,France,644041882
Luiza Xhuvani,Albania,644399375
Diego de Villalba y Toledo,Spain,645225697
Jabulani Dube,Zimbabwe,645408814
Template:Vietnam-activist-stub,Vietnam,645944000
Template:Indonesia-activist-stub,Indonesia,645944060
Template:YemenPresidents,Yemen,646131340
James Bisset (mayor),Cape Colony,647367482
Ministry of Economy and Finance (Benin),Benin,647450883
Gheorghe Barbu,Romania,647483021
Template:Yemen-diplomat-stub,Yemen,647572730
Template:Gabon-diplomat-stub,Gabon,647573541
Pan Yunduan,China,647832959
Otto Elfving,Finland,647893858
Template:Lebanon-diplomat-stub,Lebanon,647908204
List of Sri Lankan politicians,Sri Lanka,648048611
Fathema Ismail,India,648271473
Template:Prime Ministers of Republika Srpska,Bosnia-Herzegovina,648935308
Template:Estonia-politician-stub,Estonia,649098580
Rafael Simancas,Spain,650458255
Adela Serra-Ty,Philippines,650462344
Template:Syria-politician-stub,Syria,650493614
Template:Syria-diplomat-stub,Syria,650493642
Muhammad al-Ghafri,Syria,650494773
Augustus Joseph Tancred,Cape Colony,651250302
Template:Prime Ministers of the Federation of Bosnia and Herzegovina,Bosnia-Herzegovina,651745952
Eneida de León,Uruguay,651785828
Read family of Delaware,United States,651856758
Template:Anguilla-politician-stub,United Kingdom,652811277
Johan Conrad Silberbauer,Cape Colony,653467222
Rossy Barbour,Canada,653527941
Reginald Nii Bi Ayibonte,Ghana,653895210
Franz Schimmelpfennig von der Ove,Poland,654012510
Ville Korhonen (politician),Finland,655031906
Onni Hallsten,Finland,655032578
Yosia Nadiope of Busoga,Uganda,655390291
María del Socorro Bustamante,Colombia,655980284
Enrique Pintado,Uruguay,656352211
Instructions of the Year XIII,Uruguay,656386131
Governor of Gagauzia,Moldova,656737492
Neferkheperu-her-sekheper,Egypt,657176628
Abeifaa Karbo,Ghana,658939122
Auguste Louis Antoine Fabre,France,659315526
Maksud Ibragimov,Tajikistan,660214915
Template:Governors-General of Mauritius,Mauritius,660242064
Miguel R. Morales,Nicaragua,660579437
Aljoša Čampara,Bosnia-Herzegovina,660884852
Template:Presidents of the Federation of Bosnia and Herzegovina,Bosnia-Herzegovina,662458594
Walter Simon (philanthropist),Germany,662681733
Abu Sayyaf (Jordan),Jordan,662927043
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604
Torsten Nielsen,Denmark,663166199
"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266
Mufti Abdullah,Pakistan,663572469
William Matthew Harries,South Africa,663617582
Maanu Paul,New Zealand,663783398
County governor (Lithuania),Lithuania,663880497
Template:ZimbabwePMs,Rhodesian,663892878
Burhan Muhammad,Indonesia,664532059
Martim Afonso de Brito,Portugal,664669156
Gonghe Regency,China,664787336
Irshadali Sumra,Kenya,664793790
Koufu,China,664814622
Political families of Odisha,India,664822251
Template:AlgerianPres,Algeria,665948270
Firmin Aerts,Belgium,666029819
James Cotterell Hoole,Cape Colony,666596918
Philip Johannes Andries Watermeyer,South Africa,666610075
Ioan Rus,Romania,666752677
Template:US-politician-stub,United States,666834672
Template:NativeAmerican-politician-stub,United States,666855555
Template:Brazil-diplomat-stub,Brazil,666992156
Template:Brazil-mayor-stub,Brazil,666993286
Template:Brazil-politician-stub,Brazil,666993638
Pieter Adrianus Ossewaarde,Netherlands,667194771
Christoffel van Swoll,Netherlands,667198201
National Foundation for Women Legislators,United States,667815878
Les Scheininger,Canada,667821864
Patrick Canning,Canada,667873261
Kalina Krumova,Bulgaria,667906849
Pierre Chatenet,France,668091068
Henry Soum,Monaco,668095014
Brij Bhushan Mehra,India,668258382
Aurelian Pavelescu,Romania,668449610
Template:France-politician-FN-stub,France,668646568
Template:France-politician-MNR-stub,France,668646640
Template:France-politician-MPF-stub,France,668646674
Template:France-politician-ModernLeft-stub,France,668646702
Template:France-politician-PCF-stub,France,668646730
Madut Kon Awan,South Sudan,668830946
Template:BosniaHerzegovina-politician-stub,Bosnia-Herzegovina,668917051
Template:Spain-politician-stub,Spain,668917865
Template:Sweden-politician-stub,Sweden,668917996
Template:Switzerland-politician-stub,Switzerland,668918051
Template:Turkey-politician-stub,Turkey,668918090
Template:Finland-politician-stub,Finland,668918491
Template:Bulgaria-politician-stub,Bulgaria,668918594
Template:Belgium-politician-stub,Belgium,668918611
Template:Azerbaijan-politician-stub,Azerbaijan,668918637
Template:UK-politician-stub,United Kingdom,668918804
Template:Croatia-politician-stub,Croatia,668936881
Template:Iceland-politician-stub,Iceland,668936989
Template:Moldova-politician-stub,Moldova,668937182
Template:Norway-politician-stub,Norway,668937204
Template:IvoryCoast-politician-stub,Ivorian,669010261
Template:France-politician-stub,France,669039498
Taieb Ghafes,Morocco,669266906
Teodor Andrault de Langeron,Poland,669301445
Harry Davies (politician),Rhodesian,669387487
Ghassan Ashqar,Lebanon,669444168
Magnús Orri Schram,Iceland,669565720
Wusu Sannoh,Sierra Leone,669571173
Kuri II of Kanem,Chad,669719757
Laroussi Mizouri,Tunisia,669831602
Hashid Abdullah al-Ahmar,Yemen,669833212
Erkin Alymbekov,Kyrgyzstan,669833349
Angelo Staniscia,Italy,669835390
Malik Adnan Hayat Noon,Pakistan,669841183
Samou Seidou Adambi,Benin,669855022
Porfirio Smerdou,Mexico,669862709
Lise Nordin,Sweden,669869895
Fletcher Dulini,Zimbabwe,669981316
Krzysztof Abrahamowicz,Poland,669985109
Dilaver Bey,Turkey,669987106
Horace Mann Thu-Jaune,Madagascar,670134982
Patrick Goold,Cape Colony,670210734
Murad Quenili,Afghanistan,670462475
Template:Bosnian Prime Minister,Bosnia-Herzegovina,670625952
Bir II of Kanem,Chad,670893206
Gerald Hill (politician),Canada,670917017
List of Presidents of Alsace,France,670960027
John R. O'Dea,Canada,670971940
Annaberdi Kakabaýew,Turkmenistan,671016281
Salim Yahya al-Kharega,Yemen,671023940
Faida Mohamed Bakar,Tanzania,671029717
Hosea Kiplagat,Kenya,671032132
Michael D. Lett,Grenada,671047987
Than Sina,Cambodia,671073599
Samuel J. Hefferton,Canada,671122320
Armen Rustamyan,Armenia,671189093
Abdulahi Ahmed Afrah,Somalia,671338098
Ólafur Garðar Einarsson,Iceland,671338216
Badar,Afghanistan,671455150
Dušan Švantner,Slovakia,671461616
Óli Þorbjörn Guðbjartsson,Iceland,671462644
Mohammed Qalamuddin,Afghanistan,671473289
Patrick Bourson,France,671475479
Lininy,Madagascar,671483959
Bharat Saud,Nepal,671484594
Azeez Issa Adesiji,Nigeria,671511760
Toluono Feti,Samoan,671515606
Ali al-Bahadili,Iraq,671516033
Valerian Revenco,Moldova,671637265
Presidential Palace Historical Site,Vietnam,671868722
Viktor Antonov,Russia,671890885
Elsa Malpartida,Peru,671891037
Rasoanaivo,Madagascar,671895550
Sadio Lamine Sow,Mali,671897239
Narayan Sharma Paudel,Nepal,671903264
Mataʻiʻulua ‘i Fonuamotu,Tonga,672119030
San Tun,Myanmar,672156082
Masahiro Futahashi,Japan,672284154
Yannis Moralis (politician),Greece,672515581
Macarena Escudero,Argentina,672547562
André Boulloche,France,672709444
Miroslav Poche,Czech Republic,672862914
Vojtěch Mynář,Czech Republic,673008587
Norma Colpari,Argentina,673393730
Template:StKNevisPMs,Saint Kitts and Nevis,673743772
Roosevelt Jayjay,Liberia,674487383
Joshua Nii Laryea Afotey-Agbo,Ghana,674576443
Military Committee of the Congolese Party of Labour,Congo,674702694
Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905
Ahmad bin Eid al-Thani,Qatar,675271208
Liga Federal,Uruguay,675303236
George Samuel Ranglin,Jamaica,675376529
Rubén Pellanda,Argentina,676040670
Raúl Lacabanne,Argentina,676043559
Juan Carlos Reyes (governor),Argentina,676044272
Bernardo Bas,Argentina,676498385
Alexander Dunphy,Canada,676610041
Gordon Dawe,Canada,676612108
Bijai Prasad,Fiji,676661990
Barton Scotland,Guyana,676691070
Paul Thoms,Canada,676732644
Frederick B. Rowe,Canada,676734572
Allan Evans (politician),Canada,676782180
Andries Botha,Cape Colony,676828191
Asesela Sadole,Fiji,676841743
Luke Woodrow,Canada,676947124
William G. Patterson,Canada,677094551
Simeon Bouro,Solomon Islands,677317570
Salisu Buhari,Nigeria,677435096
Template:Ireland-politician-stub,Ireland,677481095
Hou Zongbin,China,677516121
Jorge Zavala,Ecuador,677523953
Harry Quaderer,Liechtenstein,677568976
Freeman White (politician),Canada,677724847
Leneuoti Matusi,Tuvalu,677747943
Second Toafa Ministry,Tuvalu,677750304
William J. MacNeil,Canada,677769770
Miguel Cané,Argentina,677786528
Gabriel Antonio Pereira,Uruguay,677974642
Wilhelm Wallbaum,Germany,678140107
List of São Toméan politicians,Sao Tome and Principe,678440540
Larbi Messari,Morocco,678532348
Sergey Zorin,Russia,678595657
Fakhrul Islam,Pakistan,678638092
Template:Guinea-Bissau Presidents,Guinea-Bissau,678702587
Cora Amalia Castilla,Mexico,678721991
Victor Macky,New Zealand,679247120
Joaquín Escolán y Balibrera,Salvadoran,679294949
Mohamed Mohamud Hayd,Somalia,679509452
Sergey Kalyakin,Belarus,679547012
List of Slovenian politicians,Slovenia,679559247
Mateo Vidal,Uruguay,679591301
John Collins (Canadian politician),Canada,679623758
Osea Gavidi,Fiji,679873929
Cui Yuying,China,680016822
Abdul Rahim Ishak,Singapore,680036029
Gumercinda Páez,Panama,680071857
Des Dalton,Ireland,680161213
Claude Pivi,Guinea,680174895
